journal_name;area
International Journal of Electrical and Electronics Research;PS
International Journal of Electrical Engineering;PS
International Journal of Electrical Engineering and Education;SSH & PS
International Journal of Electrical Engineering and Technology;PS
International Journal of Electrical Power and Energy Systems;PS
International Journal of Electrochemical Science;PS
International Journal of Electronic Business;SSH & PS
International Journal of Electronic Commerce;SSH
International Journal of Electronic Commerce Studies;PS
International Journal of Electronic Customer Relationship Management;SSH
International Journal of Electronic Finance;SSH & PS
International Journal of Electronic Governance;SSH & PS
International Journal of Electronic Government Research;SSH & PS
International Journal of Electronic Healthcare;HS
International Journal of Electronic Marketing and Retailing;SSH
International Journal of Electronic Security and Digital Forensics;SSH & PS
International Journal of Electronics;PS
International Journal of Electronics and Telecommunications;PS
International Journal of Electronics Letters;PS
International Journal of Electrospun Nanofibers and Applications;LS & PS
International Journal of Embedded and Real-Time Communication Systems;PS
International Journal of Embedded Systems;PS
International Journal of Emergency Management;SSH & HS
International Journal of Emergency Medicine;HS
International Journal of Emergency Mental Health;HS
International Journal of Emergency Services;SSH
International Journal of Emerging Electric Power Systems;PS
International Journal of Emerging Markets;SSH
International Journal of Emerging Multidisciplinary Fluid Sciences;PS
International Journal of Emerging Technologies in Learning;SSH & PS
International Journal of Emerging Technology and Advanced Engineering;PS
International Journal of Emerging Trends in Engineering Research;PS
International Journal of Emotional Education;SSH
International Journal of Endocrinology;LS & HS
International Journal of Endocrinology and Metabolism;HS
International Journal of Energetic Materials and Chemical Propulsion;PS
International Journal of Energy and Environmental Engineering;PS
International Journal of Energy Economics and Policy;SSH & PS
International Journal of Energy for a Clean Environment;PS
International Journal of Energy Production and Management;SSH & PS
International Journal of Energy Research;PS
International Journal of Energy Sector Management;SSH & PS
International Journal of Energy Technology and Policy;SSH & PS
International Journal of Energy, Environment and Economics;SSH & PS
International Journal of Engine Research;PS
International Journal of Engineering and Advanced Technology;PS
International Journal of Engineering and Technology;PS
International Journal of Engineering and Technology Innovation;PS
International Journal of Engineering and Technology(UAE);LS & PS
International Journal of Engineering Business Management;SSH
International Journal of Engineering Education;SSH & PS
International Journal of Engineering Intelligent Systems for Electrical Engineering and Communications;PS
International Journal of Engineering Pedagogy;SSH & PS
International Journal of Engineering Research and Technology;PS
International Journal of Engineering Research in Africa;PS
International Journal of Engineering Science;PS
International Journal of Engineering Systems Modelling and Simulation;PS
International Journal of Engineering Transactions C: Aspects;PS
International Journal of Engineering Trends and Technology;PS
International Journal of Engineering, Transactions A: Basics;PS
International Journal of Engineering, Transactions B: Applications;PS
International Journal of English Language and Literature Studies;SSH
International Journal of English Studies;SSH
International Journal of Enterprise Information Systems;SSH & PS
International Journal of Enterprise Network Management;SSH
International Journal of Entrepreneurial Behaviour and Research;SSH
International Journal of Entrepreneurial Venturing;SSH
International Journal of Entrepreneurship;SSH
International Journal of Entrepreneurship and Innovation;SSH
International Journal of Entrepreneurship and Innovation Management;SSH
International Journal of Entrepreneurship and Small Business;SSH
International Journal of Environment and Health;PS & HS
International Journal of Environment and Pollution;PS
International Journal of Environment and Sustainable Development;SSH & PS
International Journal of Environment and Waste Management;PS
International Journal of Environment, Workplace and Employment;SSH
International Journal of Environmental Analytical Chemistry;LS, PS & HS
International Journal of Environmental and Science Education;SSH & PS
International Journal of Environmental Health Engineering;LS, PS & HS
International Journal of Environmental Health Research;PS & HS
International Journal of Environmental Research;PS
International Journal of Environmental Research and Public Health;PS & HS
International Journal of Environmental Science and Development;PS
International Journal of Environmental Science and Technology;LS & PS
International Journal of Environmental Studies;SSH & PS
International Journal of Environmental Sustainability;PS
International Journal of Environmental Technology and Management;PS
International Journal of Environmental, Cultural, Economic and Social Sustainability;SSH & PS
International Journal of Epidemiology;HS
International Journal of Epilepsy;HS
International Journal of E-Planning Research;SSH & PS
International Journal of E-Services and Mobile Applications;SSH & PS
International Journal of Essential Oil Therapeutics;LS & HS
International Journal of Ethics and Systems;SSH
International Journal of Euro-Mediterranean Studies;SSH
International Journal of Evaluation and Research in Education;SSH
International Journal of Event and Festival Management;SSH
International Journal of Evidence and Proof;SSH & PS
International Journal of Evidence Based Coaching and Mentoring;SSH
International Journal of Evidence-Based Healthcare;HS
International Journal of Exercise Science;SSH & HS
International Journal of Exergy;PS
International Journal of Experimental Diabetes Research;LS & HS
International Journal of Experimental Pathology;LS & HS
International Journal of Expert Systems;PS
International Journal of Extreme Manufacturing;PS
International Journal of Family Therapy;SSH
International Journal of Fashion Design, Technology and Education;SSH & PS
International Journal of Fashion Studies;SSH
International Journal of Fatigue;PS
International Journal of Feminist Approaches to Bioethics;SSH
International Journal of Fertility;HS
International Journal of Fertility and Menopausal Studies;HS
International Journal of Fertility and Sterility;HS
International Journal of Fertility and Women's Medicine;HS
International Journal of Film and Media Arts;SSH
International Journal of Finance and Economics;SSH
International Journal of Financial Research;SSH
International Journal of Financial Studies;SSH
International Journal of Flexible Automation and Integrated Manufacturing;SSH
International Journal of Flexible Manufacturing Systems;SSH & PS
International Journal of Flow Control;PS
International Journal of Fluid Machinery and Systems;PS
International Journal of Fluid Mechanics Research;PS
International Journal of Fluid Power;PS
International Journal of Food Contamination;LS, PS & HS
International Journal of Food Design;LS & SSH
International Journal of Food Engineering;LS & PS
International Journal of Food Microbiology;LS & HS
International Journal of Food Properties;LS
International Journal of Food Safety, Nutrition and Public Health;LS, SSH & HS
International Journal of Food Science;LS
International Journal of Food Science and Technology;LS & PS
International Journal of Food Sciences and Nutrition;LS
International Journal of Food Studies;LS
International Journal of Forecasting;SSH
International Journal of Forensic Mental Health;HS
International Journal of Foresight and Innovation Policy;SSH
International Journal of Forestry Research;LS & PS
International Journal of Foundations of Computer Science;PS
International Journal of Fracture;PS
International Journal of Fracture Mechanics;PS
International Journal of Francophone Studies;SSH
International Journal of Fruit Science;LS & PS
International Journal of Functional Informatics and Personalised Medicine;HS
International Journal of Fuzzy Logic and Intelligent Systems;PS
International Journal of Fuzzy System Applications;PS
International Journal of Fuzzy Systems;PS
International Journal of Game Theory;SSH & PS
International Journal of Game-Based Learning;SSH
International Journal of Gaming and Computer-Mediated Simulations;PS
International Journal of Gas Turbine, Propulsion and Power Systems;PS
International Journal of Gastrointestinal Cancer;LS & HS
International Journal of Gastrointestinal Intervention;HS
International Journal of Gastronomy and Food Science;LS & SSH
International Journal of Gender and Entrepreneurship;SSH
International Journal of General Medicine;HS
International Journal of General Systems;PS
International Journal of Genetics and Molecular Biology;LS
International Journal of Genomics;LS
International Journal of Geo-Engineering;PS
International Journal of Geographical Information Science;SSH & PS
International Journal of Geographical Information Systems;SSH & PS
International Journal of Geoheritage and Parks;PS
International Journal of Geoinformatics;SSH & PS
International Journal of GEOMATE;LS & PS
International Journal of Geomechanics;LS
International Journal of Geometric Methods in Modern Physics;PS
International Journal of Geophysics;PS
International Journal of Geospatial and Environmental Research;SSH & PS
International Journal of Geosynthetics and Ground Engineering;PS
International Journal of Geotechnical Earthquake Engineering;PS
International Journal of Geotechnical Engineering;LS & PS
International Journal of Geriatric Psychiatry;HS
International Journal of Geriatric Psychopharmacology;LS, SSH & HS
International Journal of Gerontology;HS
International Journal of Global Energy Issues;PS
International Journal of Global Environmental Issues;SSH & PS
International Journal of Global Warming;PS
International Journal of Globalisation and Small Business;SSH
International Journal of Green Economics;SSH
International Journal of Green Energy;PS
International Journal of Green Nanotechnology;LS, PS & HS
International Journal of Green Nanotechnology: Biomedicine;LS & PS
International Journal of Green Nanotechnology: Materials Science and Engineering;PS
International Journal of Green Nanotechnology: Physics and Chemistry;PS
International Journal of Green Pharmacy;LS
International Journal of Greenhouse Gas Control;PS
International Journal of Grid and Distributed Computing;PS
International Journal of Grid and High Performance Computing;PS
International Journal of Grid and Utility Computing;SSH & PS
International Journal of Group Psychotherapy;SSH
International Journal of Group Theory;PS
International Journal of Gynecological Cancer;HS
International Journal of Gynecological Pathology;HS
International Journal of Gynecology and Obstetrics;HS
International Journal of Health Care Finance and Economics;SSH & HS
International Journal of Health Care Quality Assurance;SSH & HS
International journal of health care quality assurance incorporating Leadership in health services;HS
International Journal of Health Economics and Management;SSH & HS
International Journal of Health Education;HS
International journal of health education;HS
International Journal of Health Geographics;SSH, PS & HS
International Journal of Health Governance;SSH & HS
International Journal of Health Planning and Management;HS
International Journal of Health Policy and Management;SSH, PS & HS
International Journal of Health Promotion and Education;HS
International Journal of Health Research;LS & HS
International Journal of Health Science;HS
International Journal of Health Sciences;SSH & HS
International Journal of Health Services;HS
International Journal of Healthcare Information Systems and Informatics;SSH, PS & HS
International Journal of Healthcare Management;HS
International Journal of Healthcare Technology and Management;HS
International Journal of Heat and Fluid Flow;PS
International Journal of Heat and Mass Transfer;PS
International Journal of Heat and Technology;PS
International Journal of Heat Exchangers;PS
International Journal of Heavy Vehicle Systems;PS
International Journal of Hematology;HS
International Journal of Hematology-Oncology and Stem Cell Research;HS
International Journal of Hepatology;HS
International Journal of Heritage Studies;SSH
International Journal of High Dilution Research;HS
International Journal of High Performance Computing and Networking;PS
International Journal of High Performance Computing Applications;PS
International Journal of High Performance Systems Architecture;PS
International Journal of High Risk Behaviors and Addiction;SSH & HS
International Journal of High Speed Computing;PS
International Journal of High Speed Electronics and Systems;PS
International Journal of High Technology Ceramics;PS
International Journal of Higher Education;SSH
International Journal of High-Rise Buildings;SSH & PS
International Journal of Hindu Studies;SSH
International Journal of Historical Archeology;SSH
International Journal of Horticultural Science and Technology;LS
International Journal of Hospitality and Tourism Administration;SSH
International Journal of Hospitality and Tourism Systems;SSH
International Journal of Hospitality Management;SSH
International Journal of Housing Markets and Analysis;SSH
International Journal of Housing Policy;SSH & PS
International Journal of Human Capital and Information Technology Professionals;SSH & PS
International Journal of Human Computer Studies;SSH & PS
International Journal of Human Factors and Ergonomics;SSH
International Journal of Human Genetics;LS & HS
International Journal of Human Movement and Sports Sciences;LS, SSH & HS
International Journal of Human Resource Management;SSH
International Journal of Human Resources Development and Management;SSH
International Journal of Human Rights;SSH
International Journal of Human Rights in Healthcare;SSH & HS
International Journal of Human-Computer Interaction;SSH & PS
International Journal of Humanities and Arts Computing;SSH & PS
International Journal of Humanities Education;SSH
International Journal of Humanoid Robotics;PS
International Journal of Hybrid Information Technology;PS
International Journal of Hydrocarbon Engineering;PS
International Journal of Hydrogen Energy;PS
International Journal of Hydrology Science and Technology;PS
International Journal of Hygiene and Environmental Health;HS
International Journal of Hypertension;HS
International Journal of Hyperthermia;LS & HS
International Journal of Iberian Studies;SSH
International Journal of Image and Data Fusion;PS
International Journal of Image and Graphics;PS
International Journal of Image, Graphics and Signal Processing;PS
International Journal of Imaging;PS
International Journal of Imaging and Robotics;PS
International Journal of Imaging Systems and Technology;PS
International Journal of Immunogenetics;LS & HS
International Journal of Immunopathology and Pharmacology;LS & HS
International Journal of Immunopharmacology;LS
International Journal of Immunotherapy;LS & HS
International Journal of Impact Engineering;PS
International Journal of Impotence Research;HS
International Journal of Inclusive Education;SSH
International Journal of Industrial and Systems Engineering;PS
International Journal of Industrial Chemistry;PS
International Journal of Industrial Engineering : Theory Applications and Practice;PS
International Journal of Industrial Engineering and Management;SSH & PS
International Journal of Industrial Engineering and Production Research;SSH & PS
International Journal of Industrial Engineering Computations;PS
International Journal of Industrial Ergonomics;SSH & HS
International Journal of Industrial Organization;SSH
International Journal of Infectious Diseases;HS
International Journal of Infertility and Fetal Medicine;HS
International Journal of Inflammation;HS
International Journal of Information and Communication Technology;PS
International Journal of Information and Communication Technology Education;SSH & PS
International Journal of Information and Computer Security;PS
International Journal of Information and Decision Sciences;SSH & PS
International Journal of Information and Education Technology;SSH & PS
International Journal of Information and Learning Technology;SSH & PS
International Journal of Information and Management Sciences;SSH & PS
International Journal of Information Management;SSH & PS
International Journal of Information Processing and Management;SSH & PS
International Journal of Information Quality;PS
International Journal of Information Science and Management;SSH
International Journal of Information Security;PS
International Journal of Information Security and Privacy;PS
International Journal of Information System Modeling and Design;SSH & PS
International Journal of Information Systems and Change Management;SSH
International Journal of Information Systems and Project Management;SSH
International Journal of Information Systems and Supply Chain Management;SSH & PS
International Journal of Information Systems in the Service Sector;SSH & PS
International Journal of Information Technologies and Systems Approach;PS
International Journal of Information Technology (Singapore);PS
International Journal of Information Technology and Decision Making;PS
International Journal of Information Technology and Management;PS
International Journal of Information Technology and Web Engineering;PS
International Journal of Information Technology Project Management;SSH
International Journal of Information, Diversity and Inclusion;SSH
International Journal of Infrared and Millimeter Waves;PS
International Journal of Injury Control and Safety Promotion;SSH & HS
International Journal of Innovation and Learning;SSH
International Journal of Innovation and Sustainable Development;SSH & PS
International Journal of Innovation and Technology Management;SSH
International Journal of Innovation in Science and Mathematics Education;SSH
International Journal of Innovation Management;SSH
International Journal of Innovation Science;SSH & PS
International Journal of Innovation Studies;SSH
International Journal of Innovation, Creativity and Change;SSH
International Journal of Innovative Computing and Applications;PS
International Journal of Innovative Computing, Information and Control;PS
International Journal of Innovative Research and Scientific Studies;Multi
International Journal of Innovative Technology and Exploring Engineering;PS
International Journal of Inorganic Materials;PS
International Journal of Insect Morphology and Embryology;LS
International Journal of Instruction;SSH
International Journal of Instructional Cases;SSH
International Journal of Intangible Heritage;SSH
International Journal of Integrated Care;SSH & HS
International Journal of Integrated Engineering;PS
International Journal of Integrated Supply Management;SSH
International Journal of Integrative Biology;LS & PS
International Journal of Integrative Medicine;HS
International Journal of Intellectual Property Management;SSH
International Journal of Intelligence and Counterintelligence;SSH
International Journal of Intelligence, Security, and Public Affairs;SSH
International Journal of Intelligent Computing and Cybernetics;PS
International Journal of Intelligent Computing in Medical Sciences and Image Processing;PS & HS
International Journal of Intelligent Engineering and Systems;PS
International Journal of Intelligent Enterprise;SSH
International Journal of Intelligent Information and Database Systems;PS
International Journal of Intelligent Information Technologies;SSH & PS
International Journal of Intelligent Mechatronics and Robotics;PS
International Journal of Intelligent Robotics and Applications;PS
International Journal of Intelligent Systems;PS
International Journal of Intelligent Systems and Applications;PS
International Journal of Intelligent Systems and Applications in Engineering;PS
International Journal of Intelligent Systems Technologies and Applications;PS
International Journal of Intelligent Transportation Systems Research;LS & PS
International Journal of Intelligent Unmanned Systems;SSH & PS
International Journal of Intensive Care;HS
International Journal of Interactive Mobile Technologies;PS
International Journal of Interactive Multimedia and Artificial Intelligence;PS
International Journal of Intercultural Relations;SSH
International Journal of Interdisciplinary Civic and Political Studies;SSH
International Journal of Interdisciplinary Cultural Studies;SSH
International Journal of Interdisciplinary Educational Studies;SSH
International Journal of Interdisciplinary Environmental Studies;SSH & PS
International Journal of Interdisciplinary Global Studies;SSH
International Journal of Interdisciplinary Organizational Studies;SSH
International Journal of Interdisciplinary Social and Community Studies;SSH
International Journal of Interdisciplinary Social Sciences;SSH
International Journal of Interdisciplinary Studies in Communication;SSH
International Journal of Interferon, Cytokine and Mediator Research;LS & HS
International Journal of Internet Manufacturing and Services;SSH & PS
International Journal of Internet Marketing and Advertising;SSH
International Journal of Internet Protocol Technology;PS
International Journal of Internet Technology and Secured Transactions;PS
International Journal of Invertebrate Reproduction;LS
International journal of invertebrate reproduction and development;LS
International Journal of Islamic and Middle Eastern Finance and Management;SSH
International Journal of Islamic Architecture;SSH & PS
International Journal of Islamic Thought;SSH
International Journal of IT Standards and Standardization Research;SSH & PS
International Journal of Japanese Sociology;SSH
International Journal of Jungian Studies;SSH
International Journal of Kinesiology and Sports Science;HS
International Journal of Knowledge and Learning;SSH
International Journal of Knowledge and Systems Science;SSH & PS
International Journal of Knowledge Management;SSH & PS
International Journal of Knowledge Management Studies;SSH & PS
International Journal of Knowledge, Culture and Change Management;SSH
International Journal of Knowledge-Based and Intelligent Engineering Systems;PS
International Journal of Knowledge-Based Development;SSH
International Journal of Korean History;SSH
International Journal of Laboratory Hematology;LS & HS
International Journal of Language and Communication Disorders;SSH & HS
International Journal of Language and Culture;Multi
International Journal of Language Education;SSH
International Journal of Language Studies;SSH
International Journal of Language Testing;SSH
International Journal of Latin American Religions;SSH
International Journal of Law and Information Technology;SSH
International Journal of Law and Management;SSH
International Journal of Law and Psychiatry;SSH & HS
International Journal of Law in Context;SSH
International Journal of Law in the Built Environment;SSH & PS
International Journal of Law, Crime and Justice;SSH
International Journal of Law, Policy and the Family;SSH
International Journal of Leadership in Education;SSH
International Journal of Lean Six Sigma;SSH & PS
International Journal of Learner Corpus Research;SSH
International Journal of Learner Diversity and Identities;SSH
International Journal of Learning;SSH
International Journal of Learning and Change;SSH
International Journal of Learning and Intellectual Capital;SSH
International Journal of Learning in Higher Education;SSH
International Journal of Learning Technology;SSH
International Journal of Learning, Teaching and Educational Research;SSH
International Journal of Legal Discourse;SSH
International Journal of Legal Medicine;HS
International Journal of Leprosy;HS
International Journal of Leprosy and Other Mycobacterial Diseases;HS
International Journal of Lexicography;SSH
International Journal of Life Cycle Assessment;PS
International Journal of Lifelong Education;SSH
International Journal of Lightweight Concrete;PS
International Journal of Lightweight Materials and Manufacture;PS
International Journal of Listening;SSH
International Journal of Literacies;SSH
International Journal of Literary Humanities;SSH
International Journal of Logistics Management;SSH
International Journal of Logistics Research and Applications;SSH
International Journal of Logistics Systems and Management;SSH
International Journal of Low Carbon Technologies;PS
International Journal of Low Radiation;PS & HS
International Journal of Lower Extremity Wounds;HS
International Journal of Machine Consciousness;PS
International Journal of Machine Learning and Computing;SSH & PS
International Journal of Machine Learning and Cybernetics;PS
International Journal of Machine Tool Design & Research;PS
International Journal of Machine Tools and Manufacture;PS
International Journal of Machining and Machinability of Materials;PS
International Journal of Management;SSH & PS
International Journal of Management and Business Research;SSH
International Journal of Management and Decision Making;SSH
International Journal of Management and Enterprise Development;SSH
International Journal of Management and Sustainability;SSH & PS
International Journal of Management Education;SSH
International Journal of Management in Education;SSH
International Journal of Management Practice;SSH
International Journal of Management Reviews;SSH
International Journal of Management Science and Engineering Management;SSH & PS
International Journal of Managerial and Financial Accounting;SSH
International Journal of Managerial Finance;SSH
International Journal of Managing Projects in Business;SSH
International Journal of Man-Machine Studies;PS
International Journal of Manpower;SSH
International Journal of Manufacturing Research;PS
International Journal of Manufacturing Technology and Management;SSH & PS
International Journal of Manufacturing, Materials, and Mechanical Engineering;PS
International Journal of Marine and Coastal Law;SSH & PS
International Journal of Marine Energy;PS
International Journal of Maritime History;SSH
International Journal of Market Research;SSH
International Journal of Marketing Semiotics;SSH
International Journal of Masonry Research and Innovation;PS
International Journal of Mass Spectrometry;PS
International Journal of Mass Spectrometry and Ion Physics;PS
International Journal of Mass Spectrometry and Ion Processes;PS
International Journal of Material Forming;PS
International Journal of Materials and Product Technology;PS
International Journal of Materials and Structural Integrity;PS
International Journal of Materials Engineering Innovation;PS
International journal of materials in engineering applications;PS
International Journal of Materials Research;PS
International Journal of Mathematical Analysis;PS
International Journal of Mathematical Education in Science and Technology;SSH & PS
International Journal of Mathematical Modelling and Numerical Optimisation;PS
International Journal of Mathematical Models and Methods in Applied Sciences;PS
International Journal of Mathematical, Engineering and Management Sciences;SSH & PS
International Journal of Mathematics;PS
International Journal of Mathematics and Computer Science;PS
International Journal of Mathematics and Computers in Simulation;PS
International Journal of Mathematics and Mathematical Sciences;PS
International Journal of Mathematics and Physics;PS
International Journal of Mathematics in Operational Research;SSH & PS
International Journal of Mechanical and Materials Engineering;PS
International Journal of Mechanical and Mechatronics Engineering;PS
International Journal of Mechanical and Production Engineering Research and Development;PS
International Journal of Mechanical Engineering;PS
International Journal of Mechanical Engineering and Robotics Research;PS
International Journal of Mechanical Engineering and Technology;PS
International Journal of Mechanical Engineering Education;SSH & PS
International Journal of Mechanical Sciences;PS
International Journal of Mechanics;PS
International Journal of Mechanics and Control;PS
International Journal of Mechanics and Materials in Design;PS
International Journal of Mechatronics and Applied Mechanics;PS
International Journal of Mechatronics and Automation;PS
International Journal of Mechatronics and Manufacturing Systems;PS
International Journal of Media and Cultural Politics;SSH
International Journal of Media and Information Literacy;SSH
International journal of medical education;HS
International Journal of Medical Engineering and Informatics;PS & HS
International Journal of Medical Informatics;HS
International Journal of Medical Microbiology;LS & HS
International Journal of Medical Microbiology, Supplement;LS & HS
International Journal of Medical Robotics and Computer Assisted Surgery;LS, PS & HS
International Journal of Medical Sciences;HS
International Journal of Medical Toxicology and Forensic Medicine;LS & HS
International Journal of Medical Toxicology and Legal Medicine;LS & HS
International Journal of Medicinal Mushrooms;LS
International Journal of Medicine;HS
International Journal of Medicine, Biology and the Environment;LS
International Journal of Membrane Science and Technology;LS & PS
International Journal of Men's Health;HS
International Journal of Men's Social and Community Health;SSH
International Journal of Mental Health;HS
International Journal of Mental Health and Addiction;HS
International Journal of Mental Health Nursing;HS
International Journal of Mental Health Promotion;HS
International Journal of Mental Health Systems;HS
International Journal of Mentoring and Coaching in Education;SSH
International Journal of Metadata, Semantics and Ontologies;SSH & PS
International Journal of Metalcasting;PS
International Journal of Meteorology;PS
International Journal of Methods in Psychiatric Research;HS
International Journal of Metrology and Quality Engineering;PS
International Journal of Micro Air Vehicles;PS
International Journal of Microbiology;LS & HS
International Journal of Microcircuits and Electronic Packaging;PS
International Journal of Microcirculation-Clinical and Experimental;LS & HS
International Journal of Microelectronic Packaging Materials and Technologies;PS
International Journal of Micrographics & Video Technology;PS
International Journal of Micrographics and Optical Technology;PS
International Journal of Microsimulation;SSH & PS
International Journal of Microstructure and Materials Properties;PS
International Journal of Microsurgery;HS
International Journal of Microwave and Millimeter-Wave Computer-Aided Engineering;PS
International Journal of Microwave and Optical Technology;PS
International Journal of Microwave and Wireless Technologies;PS
International Journal of Microwave Science and Technology;PS
International Journal of Middle East Studies;SSH
International Journal of Migration, Health and Social Care;SSH
International Journal of Military History and Historiography;SSH
International Journal of Mine Water;PS
International Journal of Mineral Processing;PS
International Journal of Minerals, Metallurgy and Materials;PS
International Journal of Mini & Microcomputers;PS
International Journal of Mining and Geo-Engineering;PS
International Journal of Mining and Geological Engineering;LS & PS
International Journal of Mining and Mineral Engineering;PS
International Journal of Mining Engineering;LS & PS
International Journal of Mining Science and Technology;PS
International Journal of Mining, Reclamation and Environment;SSH & PS
International Journal of Minority and Group Rights;SSH
International Journal of Mobile and Blended Learning;SSH & PS
International Journal of Mobile Communications;PS
International Journal of Mobile Computing and Multimedia Communications;PS
International Journal of Mobile Human Computer Interaction;PS
International Journal of Mobile Learning and Organisation;SSH & PS
International Journal of Mobile Network Design and Innovation;SSH & PS
International Journal of Modeling, Simulation, and Scientific Computing;PS
International Journal of Modelling and Simulation;PS
International Journal of Modelling, Identification and Control;PS
International Journal of Modern Education and Computer Science;SSH & PS
International Journal of Modern Manufacturing Technologies;PS
International Journal of Modern Physics A;PS
International Journal of Modern Physics B;PS
International Journal of Modern Physics C;PS
International Journal of Modern Physics D;PS
International Journal of Modern Physics E;PS
International Journal of Molecular and Cellular Medicine;LS
International Journal of Molecular Epidemiology and Genetics;LS & HS
International Journal of Molecular Medicine;LS & HS
International Journal of Molecular Sciences;LS, PS & HS
International Journal of Monetary Economics and Finance;SSH
International Journal of Morphology;HS
International Journal of MS Care;HS
International Journal of Multicriteria Decision Making;SSH
International Journal of Multicultural Education;SSH
International Journal of Multilingualism;SSH
International Journal of Multimedia and Ubiquitous Engineering;PS
International Journal of Multimedia Information Retrieval;SSH & PS
International Journal of Multiphase Flow;PS
International Journal of Multiphysics;PS
International Journal of Multiple Research Approaches;SSH
International Journal of Music Education;SSH
International Journal of Mycobacteriology;HS
International Journal of Nano and Biomaterials;PS
International Journal of Nanoelectronics and Materials;PS
International Journal of Nanomanufacturing;PS
International Journal of Nanomechanics Science and Technology;PS
International journal of nanomedicine;LS, PS & HS
International Journal of Nanoparticles;PS
International Journal of Nanoscience;LS & PS
International Journal of Nanoscience and Nanotechnology;PS
International Journal of Nanotechnology;PS
International Journal of Nautical Archaeology;SSH & PS
International Journal of Naval Architecture and Ocean Engineering;PS
International Journal of Navigation and Observation;PS
International Journal of Neonatal Screening;LS & HS
International Journal of Nephrology;HS
International Journal of Nephrology and Renovascular Disease;HS
International Journal of Network Management;PS
International Journal of Network Security;PS
International Journal of Networked and Distributed Computing;PS
International Journal of Networking and Virtual Organisations;SSH & PS
International Journal of Neural Systems;PS & HS
International journal of neuropharmacology;HS
International Journal of Neuroprotection and Neurogeneration;LS & HS
International Journal of Neuropsychiatry;HS
International Journal of Neuropsychopharmacology;LS & HS
International Journal of Neuroscience;LS & HS
International Journal of Neutrosophic Science;PS
International Journal of Non-Equiulibrium Processing;PS
International Journal of Nonlinear Analysis and Applications;PS
International Journal of Non-Linear Mechanics;PS
International Journal of Nonlinear Sciences and Numerical Simulation;PS
International Journal of Nonprofit and Voluntary Sector Marketing;SSH
International Journal of Nuclear Desalination;PS
International Journal of Nuclear Energy Science and Technology;PS
International Journal of Nuclear Medicine and Biology;HS
International Journal of Nuclear Security;SSH & PS
International Journal of Number Theory;PS
International Journal of Numerical Analysis and Modeling;PS
International Journal of Numerical Methods for Heat and Fluid Flow;PS
International Journal of Numerical Modelling: Electronic Networks, Devices and Fields;PS
International Journal of Nursing Education Scholarship;SSH & HS
International Journal of Nursing Knowledge;HS
International Journal of Nursing Practice;HS
International Journal of Nursing Sciences;HS
International Journal of Nursing Studies;HS
International Journal of Nursing Studies Advances;HS
International journal of nursing terminologies and classifications : the official journal of NANDA International;HS
International Journal of Nutrition, Pharmacology, Neurological Diseases;HS
International Journal of Obesity;HS
International Journal of Obstetric Anesthesia;HS
International Journal of Occupational and Environmental Health;HS
International Journal of Occupational and Environmental Medicine;HS
International Journal of Occupational Medicine and Environmental Health;HS
International Journal of Occupational Medicine and Toxicology;LS & HS
International Journal of Occupational Safety and Ergonomics;SSH, PS & HS
International Journal of Occupational Safety and Health;HS
International Journal of Oceans and Oceanography;LS & PS
International Journal of Odonatology;LS
International Journal of Offender Therapy and Comparative Criminology;SSH & HS
International Journal of Offshore and Polar Engineering;PS
International Journal of Oil, Gas and Coal Technology;PS
International journal of older people nursing;HS
International Journal of Oncology;LS & HS
International Journal of One Health;HS
International journal of online and biomedical engineering;PS
International Journal of Online Engineering;PS
International Journal of Online Pedagogy and Course Design;SSH
International Journal of Open Source Software and Processes;PS
International Journal of Operational Research;SSH
International Journal of Operations and Production Management;SSH
International Journal of Operations and Quantitative Management;SSH
International Journal of Operations Research and Information Systems;SSH & PS
International Journal of Ophthalmology;HS
International Journal of Optics;PS
International Journal of Optimization and Control: Theories and Applications;PS
International Journal of Optoelectronics;PS
International Journal of Optomechatronics;PS
International Journal of Oral and Maxillofacial Implants;HS
International Journal of Oral and Maxillofacial Surgery;HS
International journal of oral implantology (New Malden, London, England);HS
International Journal of Oral Science;HS
International Journal of Oral Surgery;HS
International Journal of Organ Transplantation Medicine;HS
International Journal of Organization Theory and Behavior;SSH
International Journal of Organizational Analysis;SSH
International Journal of Organizational Diversity;SSH
International Journal of Orthodontia and Dentistry for Children;HS
International Journal of Orthodontia, Oral Surgery and Radiography;HS
International journal of orthodontics;HS
International Journal of Orthopaedic and Trauma Nursing;HS
International Journal of Osteoarchaeology;SSH
International Journal of Osteopathic Medicine;HS
International Journal of Osteoporosis and Metabolic Disorders;HS
International Journal of Ozone Therapy;HS
International Journal of Paediatric Dentistry;HS
International Journal of Paleopathology;SSH & HS
International Journal of Palliative Nursing;HS
International Journal of Pancreatology;LS & HS
International Journal of Parallel and Distributed Systems and Networks;PS
International Journal of Parallel Programming;PS
International Journal of Parallel, Emergent and Distributed Systems;PS
International Journal of Particle Therapy;PS & HS
International Journal of Pattern Recognition and Artificial Intelligence;PS
International Journal of Pavement Engineering;PS
International Journal of Pavement Research and Technology;PS
International Journal of Pedagogies and Learning;SSH
International Journal of Pedagogy and Curriculum;SSH
International Journal of Pediatric Hematology/Oncology;LS & HS
International Journal of Pediatric Nephrology;HS
International Journal of Pediatric Obesity;HS
International Journal of Pediatric Otorhinolaryngology;HS
